userID,itemID,rating,category
196,242,3,Fast Foods
63,242,3,Fast Foods
226,242,5,Fast Foods
154,242,3,Fast Foods
306,242,5,Fast Foods
296,242,4,Fast Foods
34,242,5,Fast Foods
271,242,4,Fast Foods
201,242,4,Fast Foods
209,242,4,Fast Foods
35,242,2,Fast Foods
354,242,5,Fast Foods
199,242,5,Fast Foods
113,242,2,Fast Foods
1,242,5,Fast Foods
173,242,5,Fast Foods
360,242,4,Fast Foods
234,242,4,Fast Foods
14,242,4,Fast Foods
309,242,4,Fast Foods
331,242,4,Fast Foods
21,242,3,Fast Foods
111,242,4,Fast Foods
439,242,5,Fast Foods
355,242,4,Fast Foods
204,242,5,Fast Foods
145,242,5,Fast Foods
30,242,5,Fast Foods
463,242,2,Fast Foods
144,242,4,Fast Foods
417,242,3,Fast Foods
2,242,5,Fast Foods
497,242,1,Fast Foods
523,242,5,Fast Foods
12,242,5,Fast Foods
202,242,3,Fast Foods
131,242,5,Fast Foods
451,242,1,Fast Foods
532,242,4,Fast Foods
539,242,5,Fast Foods
537,242,3,Fast Foods
416,242,4,Fast Foods
566,242,5,Fast Foods
597,242,4,Fast Foods
181,242,1,Fast Foods
639,242,4,Fast Foods
123,242,5,Fast Foods
520,242,5,Fast Foods
617,242,3,Fast Foods
86,242,4,Fast Foods
624,242,4,Fast Foods
9,242,4,Fast Foods
651,242,5,Fast Foods
492,242,5,Fast Foods
207,242,4,Fast Foods
460,242,4,Fast Foods
697,242,5,Fast Foods
129,242,4,Fast Foods
40,242,4,Fast Foods
740,242,4,Fast Foods
239,242,5,Fast Foods
794,242,5,Fast Foods
461,242,3,Fast Foods
771,242,4,Fast Foods
733,242,4,Fast Foods
568,242,4,Fast Foods
673,242,4,Fast Foods
249,242,5,Fast Foods
6,242,4,Fast Foods
205,242,4,Fast Foods
592,242,5,Fast Foods
440,242,5,Fast Foods
641,242,5,Fast Foods
765,242,5,Fast Foods
139,242,3,Fast Foods
628,242,5,Fast Foods
473,242,3,Fast Foods
695,242,5,Fast Foods
206,242,3,Fast Foods
863,242,4,Fast Foods
90,242,4,Fast Foods
594,242,4,Fast Foods
866,242,3,Fast Foods
803,242,5,Fast Foods
240,242,5,Fast Foods
753,242,4,Fast Foods
735,242,5,Fast Foods
869,242,2,Fast Foods
655,242,4,Fast Foods
18,242,5,Fast Foods
898,242,4,Fast Foods
937,242,3,Fast Foods
767,242,4,Fast Foods
533,242,4,Fast Foods
680,242,4,Fast Foods
485,242,5,Fast Foods
574,242,5,Fast Foods
758,242,3,Fast Foods
486,242,4,Fast Foods
13,242,2,Fast Foods
724,242,1,Fast Foods
270,242,5,Fast Foods
428,242,4,Fast Foods
861,242,5,Fast Foods
871,242,3,Fast Foods
408,242,4,Fast Foods
195,242,4,Fast Foods
279,242,3,Fast Foods
743,242,4,Fast Foods
707,242,4,Fast Foods
894,242,4,Fast Foods
675,242,4,Fast Foods
305,242,5,Fast Foods
845,242,4,Fast Foods
500,242,3,Fast Foods
720,242,4,Fast Foods
721,242,3,Fast Foods
186,302,3,Fruits
191,302,4,Fruits
