userID,itemID,prediction,name,category,calories,fat,protein,sugars
943,182,4.927253246307373,Cottage Cheese (Blended With Fruit),Dairy and Egg Products,97,3.85,10.69,2.38
943,204,4.844719886779785,Lowfat Cottage Cheese (2%),Dairy and Egg Products,81,2.27,10.45,4.0
943,196,4.829930782318115,Ice Cream Bar Stick Or Nugget With Crunch Coating,Dairy and Egg Products,358,25.26,2.11,21.05
943,79,4.757223606109619,Manhattan,Beverages,222,0.0,0.03,1.03
943,201,4.336010456085205,Ice Cream Sandwich Made With Light Ice Cream Vanilla,Dairy and Egg Products,186,3.04,4.29,17.86
943,55,4.293259143829346,Papad,Beans and Lentils,371,3.25,25.56,0.0
943,9,4.24573278427124,Bread Whole-Wheat Prepared From Recipe Toasted,Baked Foods,305,5.9,9.2,4.22
943,200,4.203675270080566,Ice Cream Sandwich,Dairy and Egg Products,237,8.57,4.29,18.57
943,11,4.148099422454834,Cake Pound Commercially Prepared Butter (Includes Fresh And Frozen),Baked Foods,353,13.96,5.0,33.36
943,50,4.023503303527832,Loaf Lentil,Beans and Lentils,72,2.41,2.2,1.67
942,265,4.947505950927734,Wendys Jr. Hamburger With Cheese,Fast Foods,256,11.5,13.06,0.0
942,193,4.946864604949951,Gruyere Cheese,Dairy and Egg Products,413,32.34,29.81,0.36
942,197,4.770946979522705,Ice Cream Cone Chocolate Covered With Nuts Flavors Other Than Chocolate,Dairy and Egg Products,354,21.88,5.21,25.0
942,210,4.644773006439209,Neufchatel Cheese,Dairy and Egg Products,253,22.78,9.15,3.19
942,347,4.314302444458008,Pizza Cheese Gluten-Free Thin Crust,Pizza,264,14.16,8.32,2.9
942,422,4.092140197753906,Syrups Table Blends Corn Refiner And Sugar,Sweets,319,0.0,0.0,0.0
942,119,3.897885322570801,Post Shredded Wheat N Bran Spoon-Size,Breakfast Cereals,339,2.06,10.93,0.75
942,95,3.665179967880249,Whiskey And Soda,Beverages,59,0.0,0.0,0.0
942,72,3.5802621841430664,Gin And Tonic,Beverages,84,0.0,0.0,6.57
942,215,3.490736722946167,Whole Milk,Dairy and Egg Products,61,3.25,3.15,5.05
941,258,4.8186750411987305,Popeyes Spicy Chicken Strips Analyzed 2006,Fast Foods,253,11.2,19.61,0.0
941,1,4.79415225982666,Bread Cinnamon,Baked Foods,253,5.29,7.05,14.11
941,294,4.736709117889404,Shrimp Cooked Ns As To Cooking Method,Fish,212,11.6,15.15,0.91
941,15,4.590851783752441,Cheese Croissants,Baked Foods,414,20.9,9.2,11.35
941,413,4.31138277053833,Reeses Peanut Butter Cups,Sweets,515,30.53,10.24,47.17
941,406,4.19740104675293,Mars Snackfood Us M&Ms Peanut Chocolate,Sweets,515,26.13,9.57,50.75
941,119,3.7551019191741943,Post Shredded Wheat N Bran Spoon-Size,Breakfast Cereals,339,2.06,10.93,0.75
941,64,3.4169764518737793,Vegetarian Fillets,Beans and Lentils,290,18.0,23.0,0.8
941,219,2.787996530532837,Chocolate Milk Ready To Drink Low Fat No Sugar Added (Nesquik),Dairy and Egg Products ,62,1.0,3.46,9.94
941,385,2.444705009460449,Pretzels Hard Plain Lightly Salted,Snacks,382,3.22,9.57,2.21
940,204,4.980814456939697,Lowfat Cottage Cheese (2%),Dairy and Egg Products,81,2.27,10.45,4.0
940,357,4.930956840515137,Pizza With Meat And Fruit Medium Crust,Pizza,234,8.58,10.98,4.3
940,316,4.615792751312256,Kiwifruit,Fruits,61,0.52,1.14,8.99
940,354,4.374267101287842,Pizza With Beans And Vegetables Thick Crust,Pizza,225,8.18,9.44,2.8
940,96,4.136683940887451,Whiskey Sour,Beverages,123,0.08,0.08,16.11
940,172,4.119154930114746,Cookies Sugar Wafers With Creme Filling Regular,Cookies,502,23.24,3.84,42.95
940,259,4.106042861938477,Subway B.l.t. Sub On White Bread With Bacon Lettuce And Tomato,Fast Foods,205,6.41,10.06,3.61
940,176,4.06385612487793,Blue Cheese,Dairy and Egg Products,353,28.74,21.4,0.5
940,173,3.9332497119903564,Cookies Vanilla Sandwich With Creme Filling,Cookies,483,20.0,4.5,39.3
940,14,3.882133960723877,Cake White Prepared From Recipe Without Frosting,Baked Foods,357,12.4,5.4,35.49
939,15,4.57473087310791,Cheese Croissants,Baked Foods,414,20.9,9.2,11.35
939,220,4.490576267242432,Duck Egg Cooked,Dairy and Egg Products ,209,15.53,14.45,1.05
939,274,4.356471538543701,Fish Sablefish Raw,Fish,195,15.3,13.41,0.0
939,118,4.293204307556152,Oatmeal From Fast Food Plain,Breakfast Cereals,79,2.4,2.6,0.69
