CustomerID,num_days,num_transactions,num_units,spent_money,avg_order_value,profit_margin,CLV,cust_lifetime_value
12346,400,34,73,32858.06,966.4135294,1642.903,423408.0942,695618428.1
12347,402,222,1758,139215.33,627.0960811,6960.7665,274745.2808,1912437747
12348,363,51,357,54101.18,1060.807451,2705.059,464764.252,1257214723
12349,571,175,1169,196966.63,1125.5236,9848.3315,493117.892,4856388469
12350,0,17,185,12768.44,751.0847059,638.422,329067.5619,210083971
12351,0,21,149,10398.25,495.1547619,519.9125,216938.7407,112789163
12352,356,103,650,140676.29,1365.789223,7033.8145,598383.8124,4208920736
12353,204,24,212,48428.02,2017.834167,2421.401,884059.7662,2140663202
12354,0,58,356,46494.45,801.6284483,2324.7225,351211.9431,816470306.4
12355,353,35,260,24605.81,703.0231429,1230.2905,308010.6807,378942614.4
12356,402,142,984,109939.1,774.2190141,5496.955,339203.2367,1864584928
12357,355,296,2455,277958.29,939.048277,13897.9145,411418.7449,5717862540
12358,730,77,523,98594.99,1280.454416,4929.7495,560996.6616,2765573012
12359,677,362,2149,199407.26,550.8487845,9970.363,241339.5787,2406243206
12360,603,217,1798,192338.19,886.351106,9616.9095,388330.8968,3734543090
12361,395,29,220,44078.92,1519.962759,2203.946,665930.8,1467675523
12362,735,267,1933,181178.67,678.5717978,9058.9335,297297.9815,2693202645
12363,133,23,151,17905.62,778.5052174,895.281,341081.1214,305363447.5
12364,105,85,716,79838.53,939.2768235,3991.9265,411518.8764,1642753108
12365,0,22,174,13486.85,613.0386364,674.3425,268586.3895,181119217.4
12366,0,3,13,8441.97,2813.99,422.0985,1232874.03,520394278.9
12367,0,11,81,8387.68,762.5163636,419.384,334076.0352,140106144
12368,0,18,140,15925.68,884.76,796.284,387633.7965,308666590
12369,228,93,722,95055.53,1022.102473,4752.7765,447806.707,2128325193
12370,617,201,1302,215006.26,1069.682886,10750.313,468652.7849,5038164126
12371,601,167,1224,158908.39,951.5472455,7945.4195,416894.8317,3312404325
12372,225,52,361,22150.11,425.9636538,1107.5055,186624.5177,206687679.8
12373,362,51,360,65900.8,1292.172549,3295.04,566130.6466,1865423126
12374,563,83,637,75438.99,908.903494,3771.9495,398211.619,1502034117
12375,88,17,129,25285.84,1487.402353,1264.292,651665.3341,823895268.6
12376,28,13,81,21372.28,1644.021538,1068.614,720283.8176,769705371.5
12377,274,152,1249,184147.15,1211.494408,9207.3575,530783.6891,4887115181
12378,433,301,2229,210166.64,698.2280399,10508.332,305909.8353,3214602112
12379,453,81,675,78166.2,965.0148148,3908.31,422795.285,1652415040
12380,641,277,2130,258897.24,934.6470758,12944.862,409490.4769,5300797714
12381,115,87,596,60222.13,692.2083908,3011.1065,303272.488,913185759.9
12383,168,99,767,81196.27,820.1643434,4059.8135,359332.947,1458824749
12384,93,27,126,17012.34,630.0866667,850.617,276055.5255,234817522.9
12385,0,65,510,74546.66,1146.871692,3727.333,502470.9844,1872876682
12386,29,10,85,1600.84,160.084,80.042,70136.4988,5613865.637
12387,0,9,80,7401.77,822.4188889,370.0885,360320.7155,133350553.1
12388,567,146,1099,90660.12,620.959726,4533.006,272056.8019,1233235115
12389,253,49,431,26967.59,550.3589796,1348.3795,241124.9838,325127985.1
12390,0,32,198,16260.65,508.1453125,813.0325,222630.201,181005588.9
12391,641,267,987,225909.71,846.1037828,11295.4855,370697.6147,4187209531
12392,0,7,41,6224.87,889.2671429,311.2435,389608.4799,121263106.9
12393,356,107,835,105829.45,989.0602804,5291.4725,433330.159,2292954620
12394,154,27,202,18260.8,676.3259259,913.04,296314.0132,270546546.6
12395,583,242,1689,225157.76,930.4039669,11257.888,407631.4729,4589069467
12396,0,65,574,92031.97,1415.876462,4601.5985,620328.1886,2854501262
12397,100,126,896,54384.83,431.6256349,2719.2415,189105.1624,514222605.6
12398,0,85,648,58749.61,691.1718824,2937.4805,302818.3697,889523056.1
12399,525,110,933,98163.61,892.3964545,4908.1805,390979.5037,1918997976
12400,0,11,71,7801.7,709.2454545,390.085,310736.8192,121213772.1
12401,0,5,11,5814.32,1162.864,290.716,509477.5839,148113285.3
12402,347,70,584,64852.19,926.4598571,3242.6095,405903.4673,1316186439
12403,472,9,25,17253.49,1917.054444,862.6745,839905.8416,724565351.9
12404,0,1,1,50.98,50.98,2.549,22335.51578,56933.22973
12405,0,54,447,38639.07,715.5383333,1931.9535,313493.8748,605655588.7
12406,675,166,1389,196415.65,1183.226807,9820.7825,518399.0002,5091083829
12407,215,77,509,71784.63,932.2679221,3589.2315,408448.1147,1466014839
12408,466,159,1347,68071.81,428.1245912,3403.5905,187571.2743,638415807.3
12409,487,264,1876,199986.92,757.5262121,9999.346,331889.7346,3318680290
12410,194,40,270,33636.6,840.915,1681.83,368424.289,619627022
12411,0,22,138,27621.36,1255.516364,1381.068,550070.7249,759685075.9
12412,465,127,952,116808.7,919.7535433,5840.435,402965.2763,2353492503
12413,336,51,302,65157.18,1277.591765,3257.859,559742.4681,1823562038
12414,246,28,176,32603.44,1164.408571,1630.172,510154.2963,831639249.5
12415,503,926,5915,568907.08,614.3704968,28445.354,269169.9084,7656633329
12416,0,11,132,11214.88,1019.534545,560.744,446681.6385,250474048.7
12417,730,369,2080,285797.7,774.5195122,14289.885,339334.8919,4849056582
12418,518,102,802,87941.65,862.1730392,4397.0825,377737.9271,1660944829
12419,28,25,203,26706.61,1068.2644,1335.3305,468031.3136,624976488
12420,0,29,153,20557,708.862069,1027.85,310568.8492,319218191.6
12421,490,65,460,115547.86,1777.659385,5777.393,778833.6454,4499628051
12422,626,172,1292,170574.93,991.7147093,8528.7465,434493.1256,3705681724
12423,465,165,1273,167768.43,1016.778364,8388.4215,445474.0916,3736824448
12424,386,92,695,67724.25,736.1331522,3386.2125,322516.9408,1092110896
12425,370,91,703,69661.29,765.5086813,3483.0645,335387.0387,1168174688
12426,468,77,554,85009.7,1104.022078,4250.485,483697.5784,2055949302
12427,350,31,230,34611.9,1116.512903,1730.595,489170.0976,846555325
12428,258,294,2237,204133.49,694.3315986,10206.6745,304202.7144,3104898088
12429,537,153,1252,105403.96,688.9147712,5270.198,301829.4772,1590701107
12430,0,11,99,4874.28,443.1163636,243.714,194139.5162,47314518.04
12431,658,390,2753,395366.23,1013.759564,19768.3115,444151.4858,8780124924
12432,130,108,867,97654.51,904.2084259,4882.7255,396154.6012,1934314173
12433,476,559,4280,425146.18,760.5477281,21257.309,333213.5305,7083222981
12434,297,70,469,53575.48,765.364,2678.774,335323.6505,898256276.6
12435,658,112,801,57447.4,512.9232143,2872.37,224723.5102,645489068.9
12436,0,16,130,7828.63,489.289375,391.4315,214368.9792,83910771.07
12437,736,563,4242,695991.69,1236.219698,34799.5845,541616.4099,18848026024
12438,126,98,761,73359.19,748.5631633,3667.9595,327962.8158,1202954326
12439,43,71,435,128435.25,1808.947183,6421.7625,792541.5528,5089513623
12440,255,32,203,55806.69,1743.959063,2790.3345,764068.7557,2132007409
12441,0,11,75,10108.27,918.9336364,505.4135,402606.0561,203482535.9
12442,0,12,88,11308.76,942.3966667,565.438,412885.7517,233461293.7
12443,0,21,149,34326.72,1634.605714,1716.336,716158.5275,1229168662
12444,150,176,1094,112502.99,639.2215341,5625.1495,280057.7219,1575366555
12445,398,24,167,27858.63,1160.77625,1392.9315,508562.8924,708393272.5
12446,0,57,351,33609.84,589.6463158,1680.492,258337.6735,434134393.6
12447,0,26,190,26232.57,1008.945,1311.6285,442042.114,579795035
12448,0,22,171,11408.91,518.5868182,570.4455,227204.8659,129607993.3
12449,416,201,1451,121988.06,606.9057711,6099.403,265899.4396,1621827840
12450,318,37,315,45126,1219.621622,2256.3,534344.4092,1205641290
12451,519,511,4009,371911.82,727.8117808,18595.591,318871.1557,5929597593
12452,0,22,145,16847.72,765.8054545,842.386,335517.0619,282634875.7
12453,0,43,321,29250.62,680.2469767,1462.531,298031.9162,435880916.4
12454,365,40,220,31440.18,786.0045,1572.009,344366.7304,541347599.5
12455,648,227,1592,249729.3,1100.129075,12486.465,481991.9638,6018375787
12456,210,125,963,91477.87,731.82296,4573.8935,320628.546,1466520822
12457,369,84,618,59275.52,705.6609524,2963.776,309166.366,916299855.6
12458,416,84,636,105179.94,1252.142143,5258.997,548592.4009,2885045790
12459,0,23,153,23199.15,1008.658696,1159.9575,441916.6775,512604564.4
12460,0,18,114,14380.98,798.9433333,719.049,350035.5322,251692699.4
12461,60,35,275,26522.88,757.7965714,1326.144,332008.1852,440290662.8
12462,285,62,439,78266.23,1262.358548,3913.3115,553068.4441,2164329103
12463,188,83,724,74831.84,901.5884337,3741.592,395006.7221,1477953991
