CustomerID,num_days,num_transactions,num_units,spent_money,avg_order_value,profit_margin,CLV,cust_lifetime_value
12346,725,67,141,80238.69,1197.5923880597015,4011.9345000000003,532685.500374781,2137099336.6033468
12347,725,254,1847,163044.4,641.9070866141732,8152.22,285518.34583816916,2327608369.3088393
12348,725,90,426,81397.64,904.4182222222222,4069.882,402282.51119152695,1637242351.2131941
12349,708,219,1255,247366.46000000002,1129.5272146118723,12368.323000000002,502410.31548078207,6213973060.398214
12350,688,56,256,59221.95,1057.5348214285714,2961.0975,470388.31503357075,1392865663.6751187
12351,728,49,198,54901.93,1120.4475510204081,2745.0965,498371.70836230344,1368078432.32438
12352,722,141,757,166950.19999999998,1184.0439716312055,8347.51,526659.2054045933,4396292983.706897
12353,723,56,276,85180.83,1521.08625,4259.0415,676574.5993987202,2881559296.6850247
12354,682,91,393,69970.40999999999,768.9056043956043,3498.5204999999996,342006.9054397059,1196518169.8223724
12355,729,65,335,48121.35,740.3284615384615,2406.0675,329295.8780534999,792308110.0684894
12356,726,187,1090,156368.15,836.1933155080213,7818.4075,371936.2774199866,2907949380.902504
12357,736,348,2470,326364.18,937.8281034482759,16318.209,417143.12610174395,6807028714.641613
12358,730,115,567,120029.35999999999,1043.7335652173913,6001.468,464249.5576867876,2786178864.47141
12359,724,392,2193,218048.28999999998,556.2456377551019,10902.414499999999,247416.3904456067,2697436042.7318435
12360,684,254,1907,228685.44,900.3363779527559,11434.272,400466.9191096038,4579047680.101208
12361,733,66,314,75421.04999999999,1142.7431818181817,3771.0525,508288.73803458235,1916783516.2871568
12362,737,309,1999,226299.16,732.3597411003236,11314.958,325751.41511581076,3685863580.475964
12363,707,75,300,64267.549999999996,856.9006666666666,3213.3775,381146.845075022,1224768696.1600616
12364,733,127,782,124478.70000000001,980.1472440944883,6223.935000000001,435966.55286640587,2713427487.2145743
12365,737,82,326,72546.86,884.7178048780488,3627.3430000000003,393519.82467547845,1427431381.397824
12366,735,50,129,52038.01,1040.7602,2601.9005,462927.01376081194,1204490028.5677636
12367,720,44,145,36382.619999999995,826.8777272727272,1819.1309999999999,367792.73172791454,669063159.8609328
12368,720,50,201,42023.5,840.47,2101.175,373838.5338481906,785500181.358472
12369,724,133,782,127422.70999999999,958.0654887218044,6371.1355,426144.6543413918,2715025335.409671
12370,723,237,1405,246867.06,1041.6331645569621,12343.353000000001,463315.30577608454,5718864369.49715
12371,737,214,1334,210372.3,983.0481308411214,10518.615,437256.8585860877,4599336551.576501
12372,734,87,422,62391.279999999984,717.1411494252872,3119.5639999999994,318982.2312079617,995085485.1160336
12373,720,90,447,105569.23000000001,1172.9914444444446,5278.461500000001,521743.0744792587,2754000731.5304003
