userId,movieId,rating,timestamp,title,genres
3,122914,3.5,2019-08-17 20:47:25,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
4,122914,3.0,2019-11-16 15:45:32,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
4,200818,5.0,2019-11-16 16:24:43,John Wick: Chapter 3 – Parabellum (2019),Action|Crime|Thriller
146,122914,5.0,2019-04-11 00:19:05,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
181,204698,2.5,2019-11-01 16:15:10,Joker (2019),Crime|Drama|Thriller
294,122914,2.0,2019-07-12 09:42:39,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
294,200818,2.5,2019-07-12 09:41:53,John Wick: Chapter 3 – Parabellum (2019),Action|Crime|Thriller
294,201773,3.0,2019-08-08 08:02:44,Spider-Man: Far from Home (2019),Action|Adventure|Sci-Fi
294,202429,3.5,2019-08-21 09:23:19,Once Upon a Time in Hollywood (2019),Comedy|Drama
335,122914,4.0,2019-07-03 10:44:00,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
335,201773,4.5,2019-07-03 10:43:49,Spider-Man: Far from Home (2019),Action|Adventure|Sci-Fi
376,202429,5.0,2019-10-21 19:17:22,Once Upon a Time in Hollywood (2019),Comedy|Drama
376,204698,5.0,2019-10-21 19:17:28,Joker (2019),Crime|Drama|Thriller
439,122914,2.0,2019-07-28 19:18:59,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
449,122914,4.0,2019-10-22 18:48:45,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
475,122914,5.0,2018-06-11 08:20:59,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
503,202429,4.5,2019-09-01 21:45:09,Once Upon a Time in Hollywood (2019),Comedy|Drama
542,122914,5.0,2019-04-26 23:20:37,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
542,201773,4.5,2019-07-07 22:51:03,Spider-Man: Far from Home (2019),Action|Adventure|Sci-Fi
606,122914,4.5,2019-07-05 15:05:42,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
606,201773,4.5,2019-07-05 16:59:13,Spider-Man: Far from Home (2019),Action|Adventure|Sci-Fi
606,204698,5.0,2019-10-05 14:33:46,Joker (2019),Crime|Drama|Thriller
647,122914,5.0,2019-10-05 18:01:54,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
647,200818,3.5,2019-05-19 17:08:13,John Wick: Chapter 3 – Parabellum (2019),Action|Crime|Thriller
647,201773,4.0,2019-07-28 11:52:37,Spider-Man: Far from Home (2019),Action|Adventure|Sci-Fi
647,202429,3.0,2019-08-30 20:09:30,Once Upon a Time in Hollywood (2019),Comedy|Drama
647,204698,4.5,2019-10-05 17:39:15,Joker (2019),Crime|Drama|Thriller
702,122914,4.0,2019-10-12 01:48:04,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
702,200818,4.0,2019-10-12 01:48:04,John Wick: Chapter 3 – Parabellum (2019),Action|Crime|Thriller
702,204698,3.5,2019-10-12 01:48:04,Joker (2019),Crime|Drama|Thriller
847,122914,2.0,2019-05-12 21:37:49,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
847,201773,3.0,2019-07-05 10:06:21,Spider-Man: Far from Home (2019),Action|Adventure|Sci-Fi
887,122914,4.5,2019-06-12 05:27:43,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
904,122914,4.0,2019-09-19 03:47:45,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
906,122914,5.0,2019-07-11 07:29:39,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
906,201773,4.0,2019-07-11 07:29:44,Spider-Man: Far from Home (2019),Action|Adventure|Sci-Fi
943,122914,4.5,2019-09-09 14:47:33,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
973,122914,3.5,2019-09-23 18:03:33,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
973,204698,4.0,2019-11-17 21:46:50,Joker (2019),Crime|Drama|Thriller
997,122914,4.5,2019-11-15 17:13:02,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
997,201773,4.0,2019-11-15 17:14:42,Spider-Man: Far from Home (2019),Action|Adventure|Sci-Fi
1006,122914,4.0,2019-10-10 16:03:52,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
1006,201773,4.0,2019-10-16 17:42:57,Spider-Man: Far from Home (2019),Action|Adventure|Sci-Fi
1006,202429,4.5,2019-10-10 16:03:54,Once Upon a Time in Hollywood (2019),Comedy|Drama
1006,204698,4.5,2019-10-10 16:03:45,Joker (2019),Crime|Drama|Thriller
1019,122914,4.5,2019-07-04 20:39:33,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
1019,201773,4.5,2019-07-04 20:54:49,Spider-Man: Far from Home (2019),Action|Adventure|Sci-Fi
1099,122914,4.0,2019-10-17 08:50:38,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
1228,200818,4.5,2019-09-29 09:08:30,John Wick: Chapter 3 – Parabellum (2019),Action|Crime|Thriller
1280,122914,5.0,2019-06-07 22:57:03,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
1307,122914,5.0,2019-09-10 13:05:42,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
1307,200818,4.5,2019-09-10 17:42:51,John Wick: Chapter 3 – Parabellum (2019),Action|Crime|Thriller
1307,201773,4.0,2019-09-10 14:55:12,Spider-Man: Far from Home (2019),Action|Adventure|Sci-Fi
1307,202429,4.0,2019-09-10 13:05:41,Once Upon a Time in Hollywood (2019),Comedy|Drama
1375,122914,4.0,2019-07-25 16:29:57,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
